sc_status,income,purpose,activity,project_cost,loan_required,education_level,course,course_type,course_recognized,location,recommended_scheme
Yes,493378,Business,Repair Shop,6102473,5475412,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,60744,Business,Food Business,77123,59934,NA,NA,NA,NA,Urban,AMY
Yes,258613,Business,Food Business,406294,164526,NA,NA,NA,NA,Rural,UNY
Yes,418940,Business,Grocery Shop,115915,21953,NA,NA,NA,NA,Rural,MFS
Yes,261019,Education,NA,2874159,1239866,Graduate,Law,Medical,Yes,Urban,ELS
Yes,234462,Business,Grocery Shop,6646332,6540866,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,425371,Business,Transport,82108,29391,NA,NA,NA,NA,Urban,MFS
Yes,410047,Business,Small Manufacturing,280145,263302,NA,NA,NA,NA,Rural,UNY
Yes,258750,Business,Food Business,38617,20134,NA,NA,NA,NA,Urban,MFS
Yes,387656,Business,Computer Centre,210626,131166,NA,NA,NA,NA,Rural,UNY
Yes,90108,Business,Repair Shop,3510485,1838389,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,455617,Business,Poultry,377575,238799,NA,NA,NA,NA,Rural,UNY
Yes,226812,Education,NA,747016,747016,Postgraduate,BTech,Management,Yes,Urban,ELS
Yes,372294,Education,NA,1129004,1129004,Postgraduate,Nursing,Technical,Yes,Rural,ELS
Yes,448205,Education,NA,2600776,2600776,Postgraduate,BCA,Medical,Yes,Rural,ELS
Yes,417240,Business,Service Business,99331,55731,NA,NA,NA,NA,Urban,AMY
Yes,96832,Business,Small Manufacturing,3286166,369304,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,102418,Business,Grocery Shop,90068,83792,NA,NA,NA,NA,Rural,MFS
Yes,125058,Business,Computer Centre,475070,40106,NA,NA,NA,NA,Rural,UNY
No,104255,Business,Tailoring,469630,37430,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,157391,Business,Transport,6523614,5674720,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,471698,Business,Repair Shop,5000000,5000000,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,173489,Education,NA,1968956,1968956,Graduate,Medical,Professional,Yes,Rural,ELS
Yes,340818,Business,Grocery Shop,76908,13934,NA,NA,NA,NA,Rural,AMY
Yes,394733,Education,NA,1835940,978362,12th,Pharmacy,Technical,Yes,Rural,ELS
Yes,418219,Business,Computer Centre,5000000,5000000,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,177735,Business,Fisheries,3923827,3689040,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,117060,Business,Service Business,198728,169111,NA,NA,NA,NA,Rural,UNY
Yes,473406,Business,Service Business,3786055,3201852,NA,NA,NA,NA,Rural,TERM_LOAN
No,158609,Business,Transport,210496,239526,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,430524,Education,NA,2202961,506453,Postgraduate,MCA,Technical,Yes,Urban,ELS
Yes,361767,Business,Small Manufacturing,47574,16289,NA,NA,NA,NA,Rural,AMY
Yes,74079,Business,Transport,59253,43801,NA,NA,NA,NA,Rural,MFS
Yes,73084,Business,Service Business,30538,20190,NA,NA,NA,NA,Rural,MFS
Yes,342919,Business,Service Business,466310,161849,NA,NA,NA,NA,Urban,UNY
Yes,103707,Education,NA,2696370,2596512,12th,MCA,Medical,Yes,Rural,ELS
Yes,84844,Business,Fisheries,6795398,5614028,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,208116,Business,Service Business,121382,111250,NA,NA,NA,NA,Rural,MFS
No,456705,Business,Service Business,144102,165247,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,223627,Business,Grocery Shop,95035,28434,NA,NA,NA,NA,Rural,MFS
Yes,483858,Business,Food Business,153922,110046,NA,NA,NA,NA,Rural,UNY
Yes,91383,Business,Computer Centre,369014,103073,NA,NA,NA,NA,Rural,UNY
Yes,258185,Business,Grocery Shop,3894291,2749375,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,437189,Business,Tailoring,102848,79375,NA,NA,NA,NA,Urban,AMY
Yes,177484,Business,Transport,444086,423484,NA,NA,NA,NA,Urban,UNY
Yes,240544,Business,Grocery Shop,38333,23336,NA,NA,NA,NA,Urban,MFS
Yes,330548,Business,Poultry,276334,104721,NA,NA,NA,NA,Rural,UNY
Yes,333736,Business,Repair Shop,343842,184160,NA,NA,NA,NA,Urban,UNY
Yes,156815,Business,Repair Shop,75823,22265,NA,NA,NA,NA,Rural,MFS
Yes,298934,Education,NA,3850328,3207540,12th,Pharmacy,Management,Yes,Urban,ELS
Yes,80057,Business,Small Manufacturing,367170,169146,NA,NA,NA,NA,Urban,UNY
Yes,714615,Business,Food Business,254388,58732,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,291710,Education,NA,299736,109972,Postgraduate,Engineering,Management,Yes,Rural,ELS
Yes,320796,Business,Small Manufacturing,84057,56281,NA,NA,NA,NA,Rural,MFS
Yes,166036,Business,Repair Shop,254733,231904,NA,NA,NA,NA,Urban,UNY
Yes,86161,Business,Small Manufacturing,337088,220479,NA,NA,NA,NA,Urban,UNY
Yes,74451,Education,NA,2835517,2835517,Graduate,Law,Medical,Yes,Urban,ELS
Yes,461390,Business,Food Business,57425,15335,NA,NA,NA,NA,Rural,AMY
Yes,150612,Business,Transport,72436,20249,NA,NA,NA,NA,Rural,AMY
Yes,120585,Education,NA,3049902,3771944,Postgraduate,Medical,Medical,No,Urban,NO_ELIGIBLE_SCHEME
Yes,396758,Business,Tailoring,6222373,6870048,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,391864,Business,Tailoring,64694,29679,NA,NA,NA,NA,Rural,AMY
Yes,403548,Business,Service Business,407858,286978,NA,NA,NA,NA,Urban,UNY
Yes,338756,Business,Service Business,451781,259210,NA,NA,NA,NA,Rural,UNY
Yes,432746,Business,Repair Shop,62855,22099,NA,NA,NA,NA,Urban,AMY
Yes,412242,Education,NA,3569841,3569841,Postgraduate,Law,Professional,Yes,Urban,ELS
Yes,277574,Business,Small Manufacturing,56370,20622,NA,NA,NA,NA,Rural,AMY
Yes,302727,Education,NA,372949,372949,Postgraduate,Pharmacy,Management,Yes,Rural,ELS
Yes,57030,Business,Poultry,249263,165548,NA,NA,NA,NA,Urban,UNY
Yes,134049,Business,Repair Shop,40993,35005,NA,NA,NA,NA,Urban,MFS
Yes,143133,Business,Transport,92784,51180,NA,NA,NA,NA,Urban,MFS
Yes,115345,Education,NA,3601147,2641529,Graduate,Law,Medical,No,Urban,NO_ELIGIBLE_SCHEME
Yes,340512,Business,Grocery Shop,741863,300444,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,378939,Business,Food Business,373336,165570,NA,NA,NA,NA,Rural,UNY
Yes,56798,Business,Repair Shop,84571,74291,NA,NA,NA,NA,Rural,AMY
Yes,797654,Business,Tailoring,464473,225608,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,293409,Business,Poultry,95350,78012,NA,NA,NA,NA,Urban,AMY
Yes,409357,Education,NA,3533936,505785,Graduate,Engineering,Technical,Yes,Urban,ELS
Yes,345597,Business,Repair Shop,56302,29109,NA,NA,NA,NA,Rural,MFS
Yes,484875,Education,NA,3708481,1929120,Graduate,BCA,Management,Yes,Urban,ELS
Yes,361710,Education,NA,3627134,2090452,Graduate,Engineering,Technical,Yes,Urban,ELS
Yes,448313,Business,Food Business,259962,217784,NA,NA,NA,NA,Urban,UNY
No,377108,Business,Repair Shop,241595,327419,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,80866,Business,Small Manufacturing,922519,68108,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,230095,Business,Food Business,4587594,2736289,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,222760,Business,Small Manufacturing,112103,22955,NA,NA,NA,NA,Rural,AMY
Yes,427543,Business,Computer Centre,43737,24930,NA,NA,NA,NA,Rural,AMY
Yes,99077,Business,Repair Shop,4583444,1173690,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,272251,Education,NA,2127875,2127875,Graduate,MBA,Professional,Yes,Rural,ELS
Yes,254052,Business,Poultry,4170980,2336483,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,203275,Business,Grocery Shop,113128,52034,NA,NA,NA,NA,Urban,AMY
Yes,215644,Business,Poultry,3768705,1045922,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,428863,Business,Tailoring,2132990,2011603,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,495371,Business,Service Business,127999,95561,NA,NA,NA,NA,Rural,MFS
Yes,320529,Business,Poultry,127057,41970,NA,NA,NA,NA,Rural,MFS
Yes,472075,Business,Computer Centre,137715,14207,NA,NA,NA,NA,Urban,MFS
Yes,490611,Business,Small Manufacturing,349772,167594,NA,NA,NA,NA,Rural,UNY
Yes,447860,Business,Repair Shop,86019,20909,NA,NA,NA,NA,Rural,AMY
Yes,245651,Business,Tailoring,1351158,1316050,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,256330,Business,Small Manufacturing,469141,418243,NA,NA,NA,NA,Rural,UNY
Yes,281293,Education,NA,3326174,3326174,Postgraduate,Pharmacy,Professional,Yes,Rural,ELS
Yes,285388,Business,Transport,109327,40192,NA,NA,NA,NA,Rural,AMY
Yes,258723,Business,Small Manufacturing,171270,143253,NA,NA,NA,NA,Urban,UNY
Yes,83194,Business,Small Manufacturing,992324,231811,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,261158,Business,Service Business,118712,78977,NA,NA,NA,NA,Urban,MFS
Yes,154397,Business,Fisheries,35754,10972,NA,NA,NA,NA,Urban,AMY
Yes,392013,Business,Food Business,278189,222839,NA,NA,NA,NA,Rural,UNY
Yes,254250,Business,Fisheries,38772,24728,NA,NA,NA,NA,Urban,AMY
Yes,267030,Business,Tailoring,132759,116714,NA,NA,NA,NA,Urban,MFS
Yes,396025,Business,Grocery Shop,217856,28552,NA,NA,NA,NA,Rural,UNY
Yes,331525,Business,Computer Centre,50366,40187,NA,NA,NA,NA,Urban,MFS
Yes,469811,Education,NA,4247078,2599277,Postgraduate,Pharmacy,Medical,Yes,Rural,ELS
Yes,451684,Education,NA,3890034,147719,Graduate,BCA,Professional,Yes,Rural,ELS
Yes,444469,Business,Small Manufacturing,94615,76666,NA,NA,NA,NA,Urban,MFS
Yes,148258,Business,Poultry,2054819,484590,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,390802,Business,Tailoring,114012,98224,NA,NA,NA,NA,Urban,MFS
Yes,285312,Education,NA,4260969,842117,12th,Engineering,Medical,Yes,Rural,ELS
Yes,261197,Business,Poultry,346794,301864,NA,NA,NA,NA,Urban,UNY
Yes,199267,Business,Service Business,100288,47544,NA,NA,NA,NA,Urban,AMY
Yes,472926,Business,Service Business,4915788,3631264,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,412810,Business,Food Business,1063378,399366,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,279827,Business,Small Manufacturing,214002,103004,NA,NA,NA,NA,Urban,UNY
Yes,359716,Business,Fisheries,45022,36577,NA,NA,NA,NA,Urban,AMY
Yes,281747,Business,Service Business,126776,28711,NA,NA,NA,NA,Rural,AMY
Yes,52413,Business,Food Business,496771,32710,NA,NA,NA,NA,Urban,UNY
Yes,144076,Education,NA,1052716,533890,Postgraduate,Law,Management,No,Urban,NO_ELIGIBLE_SCHEME
Yes,100845,Business,Transport,79601,26186,NA,NA,NA,NA,Rural,AMY
Yes,242941,Business,Computer Centre,144172,48494,NA,NA,NA,NA,Rural,UNY
Yes,182258,Business,Food Business,86479,34227,NA,NA,NA,NA,Urban,AMY
Yes,269483,Business,Small Manufacturing,80738,78495,NA,NA,NA,NA,Urban,MFS
Yes,493203,Business,Poultry,302072,282854,NA,NA,NA,NA,Urban,UNY
Yes,152721,Education,NA,1510298,1510298,Graduate,Law,Medical,Yes,Urban,ELS
Yes,647058,Business,Transport,103763,210081,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,366895,Business,Transport,133406,101146,NA,NA,NA,NA,Rural,MFS
Yes,215239,Business,Food Business,84464,10974,NA,NA,NA,NA,Rural,AMY
Yes,231460,Business,Fisheries,425970,213310,NA,NA,NA,NA,Urban,UNY
Yes,139535,Business,Small Manufacturing,48571,25773,NA,NA,NA,NA,Rural,AMY
Yes,137652,Business,Small Manufacturing,198175,174285,NA,NA,NA,NA,Rural,UNY
Yes,411884,Business,Food Business,122392,37168,NA,NA,NA,NA,Urban,MFS
Yes,203837,Business,Small Manufacturing,226774,119092,NA,NA,NA,NA,Urban,UNY
Yes,66638,Business,Repair Shop,39046,25468,NA,NA,NA,NA,Urban,MFS
Yes,196907,Business,Fisheries,1873977,1008470,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,415343,Business,Service Business,3227771,1990620,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,365737,Business,Tailoring,746947,701002,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,455489,Business,Fisheries,41895,26818,NA,NA,NA,NA,Urban,AMY
Yes,248409,Business,Service Business,117173,62228,NA,NA,NA,NA,Rural,AMY
No,443586,Business,Repair Shop,311335,211092,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,145711,Business,Small Manufacturing,280679,90852,NA,NA,NA,NA,Urban,UNY
Yes,136459,Business,Tailoring,450570,87005,NA,NA,NA,NA,Rural,UNY
Yes,492678,Education,NA,2658288,2559108,12th,BTech,Management,No,Urban,NO_ELIGIBLE_SCHEME
Yes,169485,Business,Fisheries,5000000,5000000,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,349318,Business,Fisheries,3190809,1172561,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,115914,Education,NA,968461,968461,Graduate,BTech,Technical,Yes,Rural,ELS
Yes,326419,Business,Small Manufacturing,1901922,1354430,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,281855,Business,Repair Shop,98021,95394,NA,NA,NA,NA,Rural,MFS
Yes,309616,Business,Transport,5000000,5000000,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,54817,Business,Small Manufacturing,43970,35907,NA,NA,NA,NA,Urban,AMY
Yes,105655,Education,NA,2331558,2331558,12th,MCA,Management,Yes,Rural,ELS
Yes,303935,Business,Transport,2483720,433215,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,391807,Education,NA,238494,238494,Graduate,Nursing,Professional,Yes,Rural,ELS
Yes,383051,Education,NA,372226,372226,Graduate,Law,Medical,Yes,Rural,ELS
Yes,206297,Education,NA,3408993,2977774,Graduate,Law,Management,Yes,Rural,ELS
Yes,146429,Business,Poultry,7052200,5961375,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,91289,Business,Grocery Shop,119440,70700,NA,NA,NA,NA,Rural,AMY
Yes,434070,Business,Fisheries,125732,31129,NA,NA,NA,NA,Rural,AMY
Yes,190075,Business,Tailoring,133247,76550,NA,NA,NA,NA,Urban,MFS
Yes,90358,Business,Poultry,53267,27290,NA,NA,NA,NA,Rural,AMY
Yes,295876,Education,NA,3145669,2652355,12th,BCA,Management,Yes,Urban,ELS
Yes,269829,Business,Service Business,84086,62409,NA,NA,NA,NA,Urban,AMY
Yes,244009,Business,Computer Centre,214169,144950,NA,NA,NA,NA,Rural,UNY
Yes,526890,Business,Repair Shop,88191,21849,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,285878,Education,NA,2132828,2132828,12th,Pharmacy,Medical,Yes,Rural,ELS
No,59960,Business,Computer Centre,363763,65238,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,449605,Education,NA,3983972,517561,Graduate,Engineering,Medical,No,Rural,NO_ELIGIBLE_SCHEME
Yes,90270,Business,Repair Shop,2108853,1018933,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,369404,Business,Service Business,5000000,5000000,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,361930,Business,Transport,74385,23124,NA,NA,NA,NA,Rural,MFS
Yes,107858,Business,Food Business,47907,28978,NA,NA,NA,NA,Urban,MFS
Yes,225854,Business,Grocery Shop,92208,78852,NA,NA,NA,NA,Urban,MFS
Yes,101714,Business,Grocery Shop,122361,68427,NA,NA,NA,NA,Urban,AMY
Yes,67886,Business,Small Manufacturing,387054,355235,NA,NA,NA,NA,Urban,UNY
Yes,188553,Business,Service Business,56563,16532,NA,NA,NA,NA,Urban,AMY
Yes,190370,Business,Service Business,468788,280357,NA,NA,NA,NA,Rural,UNY
Yes,290140,Business,Service Business,66004,32635,NA,NA,NA,NA,Rural,AMY
Yes,498075,Business,Tailoring,468226,46266,NA,NA,NA,NA,Rural,UNY
Yes,177758,Business,Tailoring,31627,19725,NA,NA,NA,NA,Urban,AMY
Yes,259546,Business,Small Manufacturing,114080,76768,NA,NA,NA,NA,Urban,MFS
Yes,450543,Business,Transport,90735,81854,NA,NA,NA,NA,Urban,AMY
Yes,75204,Business,Repair Shop,6973764,5490364,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,86960,Business,Fisheries,1745520,1568730,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,124932,Business,Transport,287900,133809,NA,NA,NA,NA,Urban,UNY
Yes,479337,Business,Small Manufacturing,127813,120853,NA,NA,NA,NA,Rural,AMY
Yes,355895,Business,Food Business,111688,51353,NA,NA,NA,NA,Urban,AMY
Yes,274143,Business,Small Manufacturing,1615562,1018214,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,350927,Business,Poultry,5000000,5000000,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,484462,Education,NA,2397545,1215274,Postgraduate,Pharmacy,Technical,Yes,Urban,ELS
Yes,220591,Business,Small Manufacturing,44984,40337,NA,NA,NA,NA,Rural,MFS
Yes,105362,Business,Small Manufacturing,6816282,6203961,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,318056,Business,Food Business,2260189,634331,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,349358,Business,Service Business,79183,31753,NA,NA,NA,NA,Urban,MFS
Yes,264089,Business,Service Business,124644,27512,NA,NA,NA,NA,Urban,AMY
Yes,357758,Business,Small Manufacturing,60634,43805,NA,NA,NA,NA,Urban,AMY
Yes,221883,Business,Service Business,87443,42142,NA,NA,NA,NA,Urban,AMY
Yes,77150,Business,Small Manufacturing,375314,323572,NA,NA,NA,NA,Urban,UNY
Yes,271292,Business,Repair Shop,366939,229437,NA,NA,NA,NA,Rural,UNY
Yes,305677,Education,NA,578757,578757,Graduate,MCA,Management,Yes,Rural,ELS
Yes,255640,Education,NA,992377,992377,Graduate,BTech,Technical,Yes,Urban,ELS
Yes,221152,Business,Service Business,258738,245131,NA,NA,NA,NA,Rural,UNY
Yes,307750,Business,Grocery Shop,66745,65236,NA,NA,NA,NA,Rural,MFS
Yes,346941,Business,Tailoring,423397,224583,NA,NA,NA,NA,Urban,UNY
Yes,172339,Business,Repair Shop,7366164,6360222,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
No,253428,Business,Transport,424526,315476,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,451986,Business,Grocery Shop,62698,28424,NA,NA,NA,NA,Urban,AMY
Yes,303840,Education,NA,2803635,2803635,12th,Law,Medical,Yes,Urban,ELS
Yes,225973,Education,NA,1069987,1069987,Graduate,BTech,Technical,Yes,Rural,ELS
Yes,148561,Business,Repair Shop,362747,275801,NA,NA,NA,NA,Urban,UNY
Yes,54681,Business,Tailoring,133434,41862,NA,NA,NA,NA,Urban,MFS
Yes,267877,Business,Transport,5000000,5000000,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,380902,Business,Service Business,5000000,5000000,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,333060,Education,NA,1548033,1548033,Graduate,BTech,Medical,Yes,Urban,ELS
Yes,267755,Business,Tailoring,3588345,982241,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,476088,Education,NA,2851278,2613756,Postgraduate,Engineering,Technical,Yes,Urban,ELS
Yes,373077,Business,Food Business,52184,32919,NA,NA,NA,NA,Rural,MFS
Yes,385657,Business,Fisheries,91599,29072,NA,NA,NA,NA,Urban,AMY
Yes,341654,Business,Poultry,76779,69291,NA,NA,NA,NA,Rural,AMY
Yes,86686,Business,Computer Centre,77739,66531,NA,NA,NA,NA,Urban,MFS
Yes,218962,Business,Poultry,2353369,747895,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,212480,Business,Grocery Shop,66368,15478,NA,NA,NA,NA,Rural,MFS
Yes,203175,Business,Fisheries,277220,254286,NA,NA,NA,NA,Urban,UNY
Yes,387894,Business,Tailoring,130066,118857,NA,NA,NA,NA,Rural,AMY
